date,price,sqft_lot,sqft_living,grade,lat,long,yr_built,yr_renovated
20141013,221900,5650,1180,7,47.5112,-122.257,1955,0
20141209,538000,7242,2570,7,47.721,-122.319,1951,1991
20150225,180000,10000,770,6,47.7379,-122.233,1933,0
20141209,604000,5000,1960,7,47.5208,-122.393,1965,0
20150218,510000,8080,1680,8,47.6168,-122.045,1987,0
20140512,1225000,101930,5420,11,47.6561,-122.005,2001,0
20140627,257500,6819,1715,7,47.3097,-122.327,1995,0
20150115,291850,9711,1060,7,47.4095,-122.315,1963,0
20150415,229500,7470,1780,7,47.5123,-122.337,1960,0
20150312,323000,6560,1890,7,47.3684,-122.031,2003,0
20150403,662500,9796,3560,8,47.6007,-122.145,1965,0
20140527,468000,6000,1160,7,47.69,-122.292,1942,0
20140528,310000,19901,1430,7,47.7558,-122.229,1927,0
20141007,400000,9680,1370,7,47.6127,-122.045,1977,0
20150312,530000,4850,1810,7,47.67,-122.394,1900,0
20150124,650000,5000,2950,9,47.5714,-122.375,1979,0
20140731,395000,14040,1890,7,47.7277,-121.962,1994,0
20140529,485000,4300,1600,7,47.6648,-122.343,1916,0
20141205,189000,9850,1200,7,47.3089,-122.21,1921,0
20150424,230000,9774,1250,7,47.3343,-122.306,1969,0
20140514,385000,4980,1620,7,47.7025,-122.341,1947,0
20140826,2000000,44867,3050,9,47.5316,-122.233,1968,0
20140703,285000,6300,2270,8,47.3266,-122.169,1995,0
20140516,252700,9643,1070,7,47.3533,-122.166,1985,0
20141120,329000,6500,2450,8,47.3739,-122.172,1985,0
20141103,233000,4697,1710,6,47.3048,-122.218,1941,0
20140626,937000,2691,2450,8,47.6386,-122.36,1915,0
20141201,667000,1581,1400,8,47.6221,-122.314,1909,0
20140624,438000,6380,1520,7,47.695,-122.304,1948,0
20150302,719000,7173,2570,8,47.7073,-122.11,2005,0
20141110,580500,3980,2320,8,47.5391,-122.07,2003,0
20141201,280000,1265,1190,7,47.7274,-122.357,2005,0
20140624,687500,5000,2330,7,47.6823,-122.368,1929,0
20141110,535000,3000,1090,8,47.6889,-122.375,1929,0
20141203,322500,6659,2060,7,47.4276,-122.157,1981,0
20140613,696000,3060,2300,8,47.6827,-122.31,1930,2002
20140528,550000,34848,1660,5,47.6621,-122.132,1933,0
20141230,640000,6000,2360,8,47.6702,-122.362,1904,0
20150213,240000,8075,1220,7,47.3341,-122.282,1969,0
20140620,605000,7553,2620,8,47.5301,-122.18,1996,0
20140715,625000,5520,2570,9,47.6145,-122.027,2000,0
20140811,775000,24186,4220,8,47.445,-122.347,1984,0
20140707,861990,5639,3595,9,47.6848,-122.016,2014,0
20141028,685000,2280,1570,7,47.6413,-122.364,1922,0
20140729,309000,9656,1280,6,47.4485,-122.175,1959,0
20140718,488000,13603,3160,8,47.7443,-121.977,2003,0
20150325,210490,8528,990,6,47.3066,-122.371,1966,0
20140716,785000,13416,2290,9,47.6194,-122.151,1981,0
